Kit NSN,Kit Name,Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-116-0445,TUBING LATEX 3/16IN X 1/16IN X 50FT/RL,4,RO,WHSE,17.2,68.8,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-116-3551,PLUG CATHETER SMALL,2,EA,WHSE,0.81,1.62,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-116-3555,CATH URET 14FR/30C FOLEY,2,EA,WHSE,17.57,35.14,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-116-3556,CATH URET 16FR/30C FOLEY,2,EA,WHSE,17.57,35.14,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-848-2730,TUBE DUODENAL 16FR,1,EA,WHSE,1.15,1.15,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-878-1123,AIRWAY PHARYNGEAL SZ 6,2,EA,WHSE,4.04,8.08,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-878-1957,SCISSORS UNIVERSAL,1,EA,WHSE,2.94,2.94,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-896-3208,TOURNIQUET QUICK-RELEASE,1,EA,WHSE,18.8,18.8,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-897-9278,"LARYNGOSCOPE, BLADE, MACINTOSH, SIZE 3, FIBEROPTIC, REUSABLE, CLOSED SYSTEM",1,EA,WHSE,384.22,384.22,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-897-9449,HANDLE LARYNGOSCOPE,1,EA,WHSE,229.24,229.24,D,
